medv,crim,nox,rm,age,dis
24,0.00632,0.538,6.575,65.2,4.09
21.6,0.02731,0.469,6.421,78.9,4.9671
34.7,0.02729,0.469,7.185,61.1,4.9671
33.4,0.03237,0.458,6.998,45.8,6.0622
36.2,0.06905,0.458,7.147,54.2,6.0622
28.7,0.02985,0.458,6.43,58.7,6.0622
22.9,0.08829,0.524,6.012,66.6,5.5605
27.1,0.14455,0.524,6.172,96.1,5.9505
16.5,0.21124,0.524,5.631,100,6.0821
18.9,0.17004,0.524,6.004,85.9,6.5921
15,0.22489,0.524,6.377,94.3,6.3467
18.9,0.11747,0.524,6.009,82.9,6.2267
21.7,0.09378,0.524,5.889,39,5.4509
20.4,0.62976,0.538,5.949,61.8,4.7075
18.2,0.63796,0.538,6.096,84.5,4.4619
19.9,0.62739,0.538,5.834,56.5,4.4986
23.1,1.05393,0.538,5.935,29.3,4.4986
17.5,0.7842,0.538,5.99,81.7,4.2579
20.2,0.80271,0.538,5.456,36.6,3.7965
18.2,0.7258,0.538,5.727,69.5,3.7965
13.6,1.25179,0.538,5.57,98.1,3.7979
19.6,0.85204,0.538,5.965,89.2,4.0123
15.2,1.23247,0.538,6.142,91.7,3.9769
14.5,0.98843,0.538,5.813,100,4.0952
15.6,0.75026,0.538,5.924,94.1,4.3996
13.9,0.84054,0.538,5.599,85.7,4.4546
16.6,0.67191,0.538,5.813,90.3,4.682
14.8,0.95577,0.538,6.047,88.8,4.4534
18.4,0.77299,0.538,6.495,94.4,4.4547
21,1.00245,0.538,6.674,87.3,4.239
12.7,1.13081,0.538,5.713,94.1,4.233
14.5,1.35472,0.538,6.072,100,4.175
13.2,1.38799,0.538,5.95,82,3.99
13.1,1.15172,0.538,5.701,95,3.7872
13.5,1.61282,0.538,6.096,96.9,3.7598
18.9,0.06417,0.499,5.933,68.2,3.3603
20,0.09744,0.499,5.841,61.4,3.3779
21,0.08014,0.499,5.85,41.5,3.9342
24.7,0.17505,0.499,5.966,30.2,3.8473
30.8,0.02763,0.428,6.595,21.8,5.4011
34.9,0.03359,0.428,7.024,15.8,5.4011
26.6,0.12744,0.448,6.77,2.9,5.7209
25.3,0.1415,0.448,6.169,6.6,5.7209
24.7,0.15936,0.448,6.211,6.5,5.7209
21.2,0.12269,0.448,6.069,40,5.7209
19.3,0.17142,0.448,5.682,33.8,5.1004
20,0.18836,0.448,5.786,33.3,5.1004
16.6,0.22927,0.448,6.03,85.5,5.6894
14.4,0.25387,0.448,5.399,95.3,5.87
19.4,0.21977,0.448,5.602,62,6.0877
19.7,0.08873,0.439,5.963,45.7,6.8147
20.5,0.04337,0.439,6.115,63,6.8147
25,0.0536,0.439,6.511,21.1,6.8147
23.4,0.04981,0.439,5.998,21.4,6.8147
18.9,0.0136,0.41,5.888,47.6,7.3197
35.4,0.01311,0.403,7.249,21.9,8.6966
24.7,0.02055,0.41,6.383,35.7,9.1876
31.6,0.01432,0.411,6.816,40.5,8.3248
23.3,0.15445,0.453,6.145,29.2,7.8148
19.6,0.10328,0.453,5.927,47.2,6.932
18.7,0.14932,0.453,5.741,66.2,7.2254
16,0.17171,0.453,5.966,93.4,6.8185
22.2,0.11027,0.453,6.456,67.8,7.2255
25,0.1265,0.453,6.762,43.4,7.9809
33,0.01951,0.4161,7.104,59.5,9.2229
23.5,0.03584,0.398,6.29,17.8,6.6115
19.4,0.04379,0.398,5.787,31.1,6.6115
22,0.05789,0.409,5.878,21.4,6.498
17.4,0.13554,0.409,5.594,36.8,6.498
20.9,0.12816,0.409,5.885,33,6.498
24.2,0.08826,0.413,6.417,6.6,5.2873
21.7,0.15876,0.413,5.961,17.5,5.2873
22.8,0.09164,0.413,6.065,7.8,5.2873
23.4,0.19539,0.413,6.245,6.2,5.2873
24.1,0.07896,0.437,6.273,6,4.2515
21.4,0.09512,0.437,6.286,45,4.5026
20,0.10153,0.437,6.279,74.5,4.0522
20.8,0.08707,0.437,6.14,45.8,4.0905
21.2,0.05646,0.437,6.232,53.7,5.0141
20.3,0.08387,0.437,5.874,36.6,4.5026
28,0.04113,0.426,6.727,33.5,5.4007
23.9,0.04462,0.426,6.619,70.4,5.4007
24.8,0.03659,0.426,6.302,32.2,5.4007
22.9,0.03551,0.426,6.167,46.7,5.4007
23.9,0.05059,0.449,6.389,48,4.7794
26.6,0.05735,0.449,6.63,56.1,4.4377
22.5,0.05188,0.449,6.015,45.1,4.4272
22.2,0.07151,0.449,6.121,56.8,3.7476
23.6,0.0566,0.489,7.007,86.3,3.4217
28.7,0.05302,0.489,7.079,63.1,3.4145
22.6,0.04684,0.489,6.417,66.1,3.0923
22,0.03932,0.489,6.405,73.9,3.0921
22.9,0.04203,0.464,6.442,53.6,3.6659
25,0.02875,0.464,6.211,28.9,3.6659
20.6,0.04294,0.464,6.249,77.3,3.615
28.4,0.12204,0.445,6.625,57.8,3.4952
21.4,0.11504,0.445,6.163,69.6,3.4952
38.7,0.12083,0.445,8.069,76,3.4952
43.8,0.08187,0.445,7.82,36.9,3.4952
33.2,0.0686,0.445,7.416,62.5,3.4952
27.5,0.14866,0.52,6.727,79.9,2.7778
26.5,0.11432,0.52,6.781,71.3,2.8561
18.6,0.22876,0.52,6.405,85.4,2.7147
19.3,0.21161,0.52,6.137,87.4,2.7147
20.1,0.1396,0.52,6.167,90,2.421
19.5,0.13262,0.52,5.851,96.7,2.1069
19.5,0.1712,0.52,5.836,91.9,2.211
20.4,0.13117,0.52,6.127,85.2,2.1224
19.8,0.12802,0.52,6.474,97.1,2.4329
19.4,0.26363,0.52,6.229,91.2,2.5451
21.7,0.10793,0.52,6.195,54.4,2.7778
22.8,0.10084,0.547,6.715,81.6,2.6775
18.8,0.12329,0.547,5.913,92.9,2.3534
18.7,0.22212,0.547,6.092,95.4,2.548
18.5,0.14231,0.547,6.254,84.2,2.2565
18.3,0.17134,0.547,5.928,88.2,2.4631
21.2,0.13158,0.547,6.176,72.5,2.7301
19.2,0.15098,0.547,6.021,82.6,2.7474
20.4,0.13058,0.547,5.872,73.1,2.4775
19.3,0.14476,0.547,5.731,65.2,2.7592
22,0.06899,0.581,5.87,69.7,2.2577
20.3,0.07165,0.581,6.004,84.1,2.1974
20.5,0.09299,0.581,5.961,92.9,2.0869
17.3,0.15038,0.581,5.856,97,1.9444
18.8,0.09849,0.581,5.879,95.8,2.0063
21.4,0.16902,0.581,5.986,88.4,1.9929
15.7,0.38735,0.581,5.613,95.6,1.7572
16.2,0.25915,0.624,5.693,96,1.7883
18,0.32543,0.624,6.431,98.8,1.8125
14.3,0.88125,0.624,5.637,94.7,1.9799
19.2,0.34006,0.624,6.458,98.9,2.1185
19.6,1.19294,0.624,6.326,97.7,2.271
23,0.59005,0.624,6.372,97.9,2.3274
18.4,0.32982,0.624,5.822,95.4,2.4699
15.6,0.97617,0.624,5.757,98.4,2.346
18.1,0.55778,0.624,6.335,98.2,2.1107
17.4,0.32264,0.624,5.942,93.5,1.9669
17.1,0.35233,0.624,6.454,98.4,1.8498
13.3,0.2498,0.624,5.857,98.2,1.6686
17.8,0.54452,0.624,6.151,97.9,1.6687
14,0.2909,0.624,6.174,93.6,1.6119
14.4,1.62864,0.624,5.019,100,1.4394
13.4,3.32105,0.871,5.403,100,1.3216
15.6,4.0974,0.871,5.468,100,1.4118
11.8,2.77974,0.871,4.903,97.8,1.3459
13.8,2.37934,0.871,6.13,100,1.4191
15.6,2.15505,0.871,5.628,100,1.5166
14.6,2.36862,0.871,4.926,95.7,1.4608
17.8,2.33099,0.871,5.186,93.8,1.5296
15.4,2.73397,0.871,5.597,94.9,1.5257
21.5,1.6566,0.871,6.122,97.3,1.618
19.6,1.49632,0.871,5.404,100,1.5916
15.3,1.12658,0.871,5.012,88,1.6102
19.4,2.14918,0.871,5.709,98.5,1.6232
17,1.41385,0.871,6.129,96,1.7494
15.6,3.53501,0.871,6.152,82.6,1.7455
13.1,2.44668,0.871,5.272,94,1.7364
41.3,1.22358,0.605,6.943,97.4,1.8773
24.3,1.34284,0.605,6.066,100,1.7573
23.3,1.42502,0.871,6.51,100,1.7659
27,1.27346,0.605,6.25,92.6,1.7984
50,1.46336,0.605,7.489,90.8,1.9709
50,1.83377,0.605,7.802,98.2,2.0407
50,1.51902,0.605,8.375,93.9,2.162
