reports,age,income,expenditure,dependents,months,majorcards,active,share
0,0.45000004,0.324303988,0.040323632,0.5,0.1,1,0.260869565,0.03326991
0,0.397,0.166290444,0.003179271,0.5,0.062962963,1,0.282608696,0.005216942
0,0.40200004,0.322799097,0.004839482,0.666666667,0.107407407,1,0.108695652,0.004155556
0,0.364,0.175319789,0.044481038,0,0.046296296,1,0.152173913,0.06521378
0,0.38400004,0.720594432,0.176319541,0.333333333,0.118518519,1,0.108695652,0.06705059
0,0.277,0.172310008,0.029681085,0,0.1,1,0.02173913,0.0444384
0,0.33300004,0.282167043,0.013174146,0.333333333,0.012962963,1,0.108695652,0.01257576
0,0.34800004,0.162528217,0.048649704,0,0.142592593,1,0.065217391,0.07643376
0,0.442,0.270127916,0.250950297,0,0.17962963,1,0.130434783,0.2456279
0,0.33900004,0.224981189,0.016963999,0,0.12037037,1,0.391304348,0.01978
0,0.364,0.281414597,0.082808126,0.166666667,0.044444444,1,0.434782609,0.07802456
0,0.502,0.133182844,0,0.333333333,0.066666667,1,0,0.000606061
0,0.358,0.114371708,0,0.166666667,0.077777778,0,0.260869565,0.000693642
0,0.34399996,0.16854778,0.025447344,0,0.048148148,1,0.065217391,0.03879551
0,0.42199996,0.127765237,0.01374897,0.333333333,0.222222222,0,0.108695652,0.02690671
0,0.49200004,0.224981189,0.108222119,0.166666667,0.311111111,1,0.47826087,0.1258194
0,0.47899996,0.285176825,0.080244813,0.333333333,0.177777778,1,0,0.07481575
0.5,0.352,0.20993228,0,0.333333333,0.111111111,1,0.173913043,4.00E-04
0,0.472,0.736636569,0.176813717,0,0.051851852,1,0,0.06579486
0.214285714,0.547,0.240030098,0,0,0.051851852,1,0.217391304,0.000352941
0,0.421,0.161023326,0.01398261,0.333333333,0.212962963,1,0.02173913,0.02238596
0.071428571,0.30000004,0.125282167,0,0.333333333,0.012962963,0,0.043478261,0.00064
0,0.409,0.134687735,0.07050158,0,0.022222222,1,0,0.131112
0.071428571,0.427,0.285176825,0.05505421,0.333333333,0.033333333,1,0.47826087,0.05119225
0,0.51000004,0.370955606,0.012125591,0.333333333,0.024074074,1,0.369565217,0.008949417
0,0.361,0.323250564,0.16202642,0.333333333,0.07037037,1,0.152173913,0.1337421
0,0.25800004,0.273137698,0,0.166666667,0.022222222,0,0.02173913,0.0003125
0,0.265,0.097065463,0.023609147,0,0.118518519,1,0.130434783,0.058608
0,0.409,0.172310008,0,0.166666667,0.022222222,1,0,0.00048
0,0.478,0.398043642,0.494521867,0.666666667,0.137037037,1,0.413043478,0.3344596
0,0.25999996,0.136734387,0.013773435,0,0.016666667,0,0.108695652,0.02532014
0.071428571,0.35100004,0.224981189,0.13480701,0,0.025925926,1,0.130434783,0.1567194
0.071428571,0.29700004,0.221218962,0,0.166666667,0.074074074,1,0.108695652,0.000380952
0,0.25,0.169774266,0.178326604,0.166666667,0.022222222,1,0.217391304,0.2689328
0,0.28399996,0.20993228,0.071798303,0,0.022222222,1,0.108695652,0.08901566
0,0.51199996,0.250654628,0.174639434,1,0.2,1,0.326086957,0.1834562
0,0.50899996,0.156094808,0,0.333333333,0.085185185,1,0,0.000525279
0,0.43699996,0.413092551,0.18350485,0.166666667,0.066666667,1,0.347826087,0.1197419
0,0.319,0.247554552,0.111137359,0,0.003703704,1,0.304347826,0.1181043
0,0.331,0.330323552,0.130779495,0.666666667,0.051851852,1,0.282608696,0.1057439
0,0.313,0.20993228,0.100318438,0,0.012962963,1,0.217391304,0.124375
0,0.27799996,0.178705794,0.017307602,0,0.014814815,1,0.02173913,0.02505764
0,0.35700004,0.097817908,0.020621573,0.166666667,0.012962963,0,0.02173913,0.05125828
0,0.358,0.123401053,0.053510157,0,0.111111111,1,0.260869565,0.1075816
0,0.45799996,0.179834462,0.003091891,0,0.022222222,1,0.02173913,0.004807692
0,0.33600004,0.119638826,0,0.333333333,0.048148148,1,0.043478261,0.000666667
0,0.42499996,0.134687735,0.10307775,0,0.288888889,1,0.086956522,0.192044
0,0.451,0.229706546,0,0.166666667,0.181481481,0,0.02173913,0.000367782
0,0.31099996,0.161023326,0.026805358,0.166666667,0.055555556,0,0.043478261,0.04285106
0,0.331,0.510910459,0.208042349,0,0,1,0.282608696,0.1105849
0,0.595,0.255079007,0,0.333333333,0.022222222,0,0,0.000333333
0,0.289,0.134687735,0.030068511,0,0.033333333,1,0.260869565,0.0559685
0,0.24600004,0.112114372,0.033890895,0,0.011111111,1,0.086956522,0.07420824
0,0.283,0.194883371,0.011009823,0.333333333,0.088888889,1,0.173913043,0.014875
0,0.307,0.164785553,0.013288951,0,0.062962963,1,0.043478261,0.02071958
0.071428571,0.39300004,0.20993228,0.05481143,0,0.4,0,0.108695652,0.068022
0,0.40999996,0.34537246,0.612366491,0.5,0.022222222,1,0.02173913,0.4745083
0,0.397,0.223476298,0.261458426,0.666666667,0.033333333,0,0.065217391,0.3058082
0,0.53400004,0.119638826,0,0.333333333,0.061111111,0,0,0.000666667
0,0.25200004,0.097065463,0.010574269,0,0.037037037,1,0.086956522,0.02655333
0.142857143,0.29899996,0.20993228,0.03090789,0,0.014814815,0,0.086956522,0.038453
0,0.32400004,0.155756208,0.008962721,0.5,0.066666667,1,0.108695652,0.01492807
0,0.31500004,0.194883371,0.069388241,0.166666667,0.022222222,1,0.347826087,0.0921725
0,0.262,0.187358916,0.025652751,0,0.005555556,1,0,0.03544926
0.214285714,0.32599996,0.352896915,0,0.333333333,0.02962963,1,0.326086957,0.000244898
0,0.31200004,0.172310008,0,0,0.033333333,0,0,0.00048
0,0.487,0.435665914,0.098735669,0.333333333,0.337037037,1,0.347826087,0.06123966
0,0.50299996,0.27765237,0.033726611,0,0.144444444,1,0.043478261,0.03221615
0,0.25800004,0.367945824,0,0,0.046296296,1,0,0.000235294
0,0.29400004,0.215500376,0.20728284,0,0.007407407,1,0,0.2508032
0,0.367,0.169187359,0.099386579,0.333333333,0.098148148,1,0.347826087,0.1503596
0,0.32700004,0.134687735,0.060123568,0,0.016666667,1,0.108695652,0.111812
0,0.394,0.228592927,0.018115528,0.333333333,0.266666667,0,0.043478261,0.02089871
0,0.44599996,0.18924003,0.041739988,0.333333333,0.024074074,1,0.304347826,0.05719193
0,0.31699996,0.149736644,0.030039206,0,0.266666667,1,0.217391304,0.05078546
0.071428571,0.28999996,0.292701279,0,0.166666667,0.009259259,0,0.086956522,0.000292683
0,0.289,0.266365688,0.094422593,0,0.033333333,1,0.239130435,0.09367893
0,0.301,0.200902935,0.031767705,0,0.012962963,1,0,0.04106146
0,0.004,0.213694507,0.083416287,0.166666667,0.174074074,1,0.108695652,0.1017243
0,0.39199996,0.176072235,0.032806303,0.333333333,0.011111111,1,0.391304348,0.04792941
0,0.391,0.285176825,0,0.333333333,0.046296296,1,0,3.00E-04
0.071428571,0.65299996,0.182844244,0.021050674,0.166666667,0.144444444,1,0.413043478,0.02984697
0,0.23299996,0.108352144,0.035040273,0,0.068518519,1,0.173913043,0.07904787
0,0.34999996,0.164785553,0.015988305,0,0.055555556,1,0.086956522,0.02494458
0.214285714,0.48000004,0.263348382,0,0.333333333,0.027777778,1,0.239130435,0.000323459
0,0.487,0.52896915,0.076003007,0.333333333,0.327777778,1,0.282608696,0.03904502
0,0.493,0.314221219,0,0.5,0.318518519,1,0.195652174,0.000273598
0,0.412,0.232505643,0,0.333333333,0.061111111,0,0.391304348,0.000363636
0,0.28200004,0.157562077,0,0.166666667,0.022222222,1,0,0.000520833
0.071428571,0.64200004,0.298720843,0,0.166666667,0.533333333,1,0.043478261,0.000287081
0.142857143,0.406,0.171369451,0,0.166666667,0.161111111,1,0.065217391,0.000482412
0,0.53700004,0.195297216,0,0.833333333,0.007407407,1,0,0.000427731
0,0.51900004,0.164785553,0.022062933,0,0.022222222,1,0,0.03435875
0.285714286,0.42000004,0.097065463,0,0.166666667,0.012962963,1,0.195652174,8.00E-04
0.142857143,0.42799996,0.616252822,0,0.333333333,0.127777778,1,0.260869565,0.000142857
0,0.25800004,0.101580135,0,0,0.022222222,1,0.043478261,0.000769231
0.071428571,0.39000004,0.435665914,0.15297604,0,0.088888889,1,0.130434783,0.09483
0.071428571,0.30300004,0.255079007,0.075511509,0.333333333,0.022222222,1,0.086956522,0.07804389
0,0.313,0.360421369,0.145573245,0,0.009259259,1,0.347826087,0.1082892
0,0.55,0.398043642,0.0811487,0.333333333,0.298148148,1,0.152173913,0.05487727
0.071428571,0.418,0.736636569,0.296027914,0,0.133333333,1,0.630434783,0.1101059
0,0.418,0.326561324,0,0.5,0.066666667,1,0.326086957,0.000263736
0,0.24900004,0.202407825,0,0,0.066666667,1,0.065217391,0.000413793
0,0.30000004,0.119638826,0.047660288,0,0.001851852,0,0.195652174,0.09848222
0,0.373,0.300225734,0.053791396,0,0.098148148,1,0,0.04768381
0,0.27600004,0.279157261,0.239233103,0,0.02962963,1,0,0.2269911
0,0.274,0.25696012,0.034253599,0.166666667,0.094444444,0,0.130434783,0.03514566
0,0.29599996,0.170805117,0.087584147,0,0.033333333,1,0,0.1313552
0,0.48900004,0.736636569,0.204887813,0.5,0.222222222,1,0.369565217,0.07620686
0,0.52200004,0.739601204,0.058985225,0.166666667,0.022222222,1,0.391304348,0.02186308
0,0.27499996,0.206170053,0.028833904,0,0.022222222,1,0.369565217,0.03642203
0,0.50100004,0.360421369,0.326288553,0.166666667,0.066666667,1,0.108695652,0.24272
0,0.33600004,0.164785553,0.073356326,0,0.001851852,1,0.630434783,0.1137675
0,0.54499996,1,0.037237139,0.333333333,0.233333333,1,0.195652174,0.01031111
0.214285714,0.30900004,0.285176825,0,0,0.066666667,0,0.108695652,3.00E-04
0.071428571,0.44599996,0.27765237,0.096135254,0,0.094444444,1,0.086956522,0.0916836
0.071428571,0.45000004,0.134687735,0.032670539,0.5,0.077777778,1,0.065217391,0.0608075
0,0.361,0.145974417,0.018291363,0,0.022222222,1,0.086956522,0.03192233
0,0.253,0.20993228,0.02495775,0.333333333,0.033333333,0,0.043478261,0.030976
0,0.47899996,0.307750188,0.039527279,0,0.2,1,0.086956522,0.03419023
0.285714286,0.27900004,0.736636569,0,0.333333333,0.05,1,0.108695652,0.000120001
0,0.25999996,0.172310008,0.004324078,0,0.059259259,1,0.065217391,0.0067932
0,0.26400004,0.20993228,0.041146635,0,0.222222222,1,0.239130435,0.05111367
0,0.48799996,0.179834462,0.002688601,0,0.096296296,1,0.065217391,0.004230769
0.071428571,0.22200004,0.10910459,0.025303505,0,0.094444444,1,0.043478261,0.0568759
0,0.40999996,0.322799097,0.003602727,0.666666667,0.055555556,1,0.130434783,0.0032
0,0.29899996,0.360421369,0.042548181,0,0.07037037,1,0.347826087,0.0316508
0,0.23899996,0.115124153,0.089688257,0,0.014814815,1,0.239130435,0.1919466
0,0.295,0.125282167,0.040658912,0.166666667,0.025925926,0,0.02173913,0.08070774
0,0.50100004,0.20993228,0.077062563,0.5,0.222222222,0,0,0.095609
0.357142857,0.37099996,0.300225734,0,0.5,0.096296296,0,0.413043478,0.000285714
0,0.63799996,0.352896915,0,0,0.2,0,0.02173913,0.000244898
0,0.289,0.144469526,0.011964275,0.166666667,0.024074074,1,0.086956522,0.02122066
0.071428571,0.30300004,0.112114372,0,0.333333333,0.014814815,0,0.239130435,0.000705882
0,0.25999996,0.110609481,0.050518809,0,0.033333333,0,0.043478261,0.1119048
0,0.24499996,0.182844244,0,0.5,0.012962963,1,0.02173913,0.000454546
0,0.21900004,0.13227991,0.003146739,0,0.211111111,0,0.043478261,0.006455285
0,0.262,0.232505643,0.034972262,0,0.011111111,1,0.173913043,0.03947758
0,0.25500004,0.103807374,0.087611828,0,0.333333333,1,0.347826087,0.2052491
0,0.502,0.255079007,0.017196833,0,0.075925926,0,0.304347826,0.01785056
0,0.43500004,0.20993228,0.091164008,0.333333333,0.02962963,1,0.130434783,0.1130587
0,0.496,0.270127916,0.084957921,0,0.124074074,1,0.086956522,0.08315605
0,0.316,0.237020316,0.002102755,0,0.022222222,1,0.086956522,0.002625298
0.142857143,0.39600004,0.158796087,0,0,0.114814815,0,0.065217391,0.000517152
0,0.51499996,0.571106095,0.01388582,0,0.111111111,0,0.043478261,0.006685513
0,0.36199996,0.172310008,0.023809447,0.5,0.055555556,1,0.195652174,0.0356228
0,0.29899996,0.097065463,0.004973914,0.166666667,0.022222222,1,0.152173913,0.0128
0,0.42600004,0.253739654,0.101097595,0.166666667,0.155555556,1,0.217391304,0.1049978
0.071428571,0.532,0.285176825,0.019097943,0,0.066666667,1,0.282608696,0.01795825
0.214285714,0.517,0.489841986,0.056782454,0.5,0.055555556,1,0.586956522,0.03142812
0.142857143,0.598,0.307750188,0.04174644,0.166666667,0.488888889,1,0.326086957,0.03620279
0,0.379,0.247554552,0.009798071,0.166666667,0.066666667,1,0.108695652,0.01055514
0.071428571,0.517,0.281414597,0,0.333333333,0.05,1,0.086956522,0.000303798
0.357142857,0.32400004,0.285176825,0,0,0.068518519,1,0.152173913,3.00E-04
0,0.29700004,0.164785553,0.148817311,0.166666667,0.303703704,0,0.02173913,0.23063
0,0.59400004,0.187358916,0.064440386,0,0.222222222,0,0.065217391,0.08877037
0,0.33799996,0.480812641,0.012490433,0.333333333,0.101851852,1,0.152173913,0.007129848
0,0.316,0.187358916,0.029767121,0,0.033333333,1,0,0.04111704
0,0.35100004,0.292701279,0.046904006,0,0.024074074,1,0,0.04264756
0,0.86000008,0.563656885,0.129347009,0.166666667,0.044444444,1,0.195652174,0.06251058
0,0.292,0.194883371,0.044753372,0,0.009259259,1,0,0.05955571
0,0.29899996,0.218961625,0.035587392,0.333333333,0.005555556,1,0.130434783,0.04245641
0,0.29700004,0.157261099,0.017630773,0,0.055555556,1,0.043478261,0.02855478
0,0.35899996,0.260346125,0.001478731,0,0.105555556,1,0.065217391,0.001798365
0,0.38899996,0.473288187,0,0,0.092592593,1,0.130434783,0.000184615
0,0.27499996,0.17682468,0.103408996,0.166666667,0.02037037,1,0.043478261,0.1502422
0,0.58500004,0.247554552,0.063856422,0,0.088888889,1,0.195652174,0.067888
0,0.30199996,0.227990971,0.022219945,0,0.055555556,1,0.413043478,0.02563117
0,0.30199996,0.246049661,0.047833444,0,0.025925926,1,0.108695652,0.05121034
0,0.29700004,0.205267118,0.022111056,0,0.025925926,1,0,0.02812798
0.071428571,0.34800004,0.170428894,0,0.166666667,0.022222222,0,0.108695652,0.000484849
0.357142857,0.34099996,0.218961625,0,0,0.024074074,0,0.152173913,0.000384615
0,0.38599996,0.172310008,0,0.166666667,0.111111111,1,0,0.00048
0,0.316,0.20993228,0.039217811,0,0.022222222,1,0.086956522,0.04865566
0,0.40999996,0.435665914,0.027819497,0.166666667,0.088888889,1,0.108695652,0.017262
0,0.33900004,0.179834462,0.033907027,0,0.05,1,0.130434783,0.04854384
0,0.28099996,0.27765237,0.019032339,0.166666667,0.025925926,1,0.152173913,0.01830487
0.071428571,0.36799996,0.172310008,0,0,0.033333333,1,0.130434783,0.00048
0.071428571,0.41400004,0.232505643,0,0.5,0.088888889,0,0.065217391,0.000363636
0,0.376,0.428517682,0.039971447,0.166666667,0.022222222,1,0.043478261,0.0251939
